,index,Name,Age,Wage,Skill Moves,Height(cm),Weight(cm),Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,High,Medium,Low
7576,7576,G. Vargas,34,2000,2.0,172.72,73.9368,43.0,70.0,76.0,67.0,56.0,60.0,53.0,52.0,33.0,58.0,63.0,66.0,61.0,68.0,59.0,66.0,76.0,70.0,67.0,57.0,38.0,18.0,74.0,49.0,70.0,59.0,24.0,24.0,18.0,9.0,10.0,10.0,6.0,7.0,0,1,1
7577,7577,A. Bonnet,31,4000,3.0,172.72,64.8648,74.0,53.0,46.0,70.0,54.0,69.0,71.0,70.0,66.0,64.0,77.0,77.0,87.0,57.0,81.0,70.0,34.0,79.0,50.0,74.0,43.0,52.0,60.0,63.0,66.0,67.0,32.0,30.0,21.0,6.0,7.0,13.0,6.0,9.0,0,1,0
7578,7578,R. Ruiter,31,5000,1.0,195.57999999999998,82.1016,16.0,12.0,12.0,36.0,14.0,17.0,14.0,13.0,34.0,18.0,55.0,55.0,38.0,67.0,34.0,44.0,55.0,37.0,68.0,16.0,35.0,22.0,17.0,39.0,24.0,49.0,20.0,16.0,16.0,68.0,64.0,67.0,69.0,68.0,0,1,0
7579,7579,P. Farkas,25,12000,3.0,177.8,78.0192,66.0,57.0,58.0,65.0,39.0,65.0,67.0,38.0,64.0,64.0,79.0,85.0,76.0,54.0,76.0,75.0,73.0,88.0,65.0,63.0,71.0,59.0,54.0,56.0,35.0,63.0,64.0,64.0,64.0,12.0,13.0,12.0,9.0,14.0,1,1,0
7580,7580,R. Grant,27,4000,3.0,175.26,73.9368,63.0,54.0,52.0,65.0,42.0,63.0,56.0,51.0,59.0,65.0,73.0,68.0,77.0,62.0,73.0,67.0,82.0,92.0,73.0,66.0,70.0,65.0,62.0,60.0,56.0,63.0,64.0,66.0,63.0,16.0,15.0,16.0,7.0,10.0,1,0,0
7581,7581,D. Ulvestad,29,2000,2.0,187.96,83.916,33.0,39.0,66.0,58.0,42.0,33.0,35.0,21.0,54.0,52.0,47.0,43.0,47.0,68.0,44.0,68.0,77.0,64.0,80.0,42.0,71.0,69.0,38.0,40.0,34.0,63.0,68.0,66.0,58.0,12.0,11.0,10.0,16.0,14.0,1,1,0
7582,7582,Han Kyo Won,28,5000,3.0,182.88,73.0296,59.0,66.0,62.0,66.0,67.0,67.0,67.0,57.0,52.0,68.0,86.0,79.0,88.0,62.0,68.0,65.0,70.0,74.0,62.0,67.0,70.0,55.0,66.0,65.0,67.0,71.0,54.0,58.0,57.0,7.0,11.0,15.0,7.0,12.0,1,1,0
7583,7583,H. Marín,25,12000,2.0,182.88,83.0088,27.0,25.0,70.0,60.0,28.0,40.0,27.0,58.0,56.0,58.0,66.0,63.0,47.0,63.0,48.0,60.0,64.0,64.0,78.0,39.0,60.0,67.0,26.0,48.0,45.0,58.0,61.0,72.0,69.0,9.0,11.0,15.0,10.0,9.0,1,0,1
7584,7584,D. Dos Santos,21,3000,4.0,175.26,68.9472,64.0,55.0,47.0,60.0,55.0,75.0,73.0,53.0,58.0,72.0,87.0,87.0,92.0,59.0,75.0,65.0,62.0,70.0,39.0,52.0,60.0,45.0,62.0,64.0,59.0,60.0,33.0,44.0,40.0,12.0,12.0,15.0,7.0,10.0,0,1,0
7585,7585,Kim Min Hyeok,26,2000,2.0,187.96,73.0296,23.0,19.0,61.0,41.0,26.0,36.0,28.0,22.0,30.0,54.0,78.0,79.0,44.0,55.0,52.0,48.0,63.0,63.0,83.0,22.0,81.0,62.0,28.0,34.0,32.0,49.0,66.0,70.0,70.0,13.0,12.0,11.0,8.0,7.0,1,1,0
7586,7586,M. Titsch Rivero,28,4000,2.0,182.88,76.2048,56.0,46.0,59.0,72.0,48.0,65.0,40.0,39.0,67.0,69.0,63.0,65.0,68.0,68.0,65.0,52.0,74.0,78.0,67.0,50.0,64.0,66.0,58.0,67.0,46.0,64.0,60.0,65.0,59.0,10.0,12.0,14.0,9.0,13.0,0,1,0
7587,7587,S. Maier,24,7000,3.0,177.8,68.04,66.0,54.0,47.0,68.0,62.0,71.0,70.0,70.0,55.0,69.0,77.0,68.0,83.0,64.0,76.0,73.0,71.0,60.0,53.0,71.0,54.0,38.0,61.0,64.0,59.0,56.0,41.0,24.0,20.0,11.0,7.0,14.0,9.0,8.0,0,1,1
7588,7588,A. Maund,27,3000,2.0,185.42,83.916,25.0,39.0,68.0,62.0,26.0,51.0,42.0,27.0,52.0,60.0,48.0,63.0,34.0,68.0,38.0,59.0,71.0,68.0,73.0,42.0,74.0,67.0,42.0,54.0,32.0,53.0,67.0,69.0,60.0,9.0,7.0,7.0,14.0,6.0,0,1,0
7589,7589,A. Le Fondre,31,5000,3.0,175.26,73.0296,65.0,73.0,61.0,62.0,71.0,63.0,66.0,53.0,51.0,68.0,70.0,68.0,70.0,67.0,77.0,67.0,75.0,65.0,60.0,60.0,55.0,34.0,71.0,66.0,83.0,74.0,19.0,21.0,14.0,8.0,7.0,6.0,6.0,16.0,1,0,1
7590,7590,H. Eyjólfsson,27,0,2.0,190.5,86.184,57.0,38.0,66.0,60.0,33.0,54.0,31.0,38.0,56.0,53.0,73.0,74.0,46.0,64.0,58.0,59.0,71.0,60.0,78.0,44.0,67.0,69.0,38.0,51.0,45.0,62.0,63.0,71.0,66.0,8.0,12.0,11.0,11.0,11.0,0,1,0
7591,7591,L. Bacuna,26,13000,3.0,180.34,77.112,69.0,60.0,63.0,67.0,69.0,68.0,76.0,71.0,67.0,67.0,76.0,79.0,77.0,63.0,64.0,79.0,71.0,79.0,77.0,67.0,74.0,64.0,59.0,67.0,76.0,68.0,58.0,66.0,64.0,15.0,8.0,14.0,16.0,15.0,0,1,0
7592,7592,N. Röseler,26,3000,2.0,190.5,69.8544,37.0,28.0,68.0,63.0,32.0,56.0,34.0,36.0,65.0,60.0,62.0,60.0,68.0,65.0,30.0,44.0,67.0,68.0,74.0,38.0,66.0,66.0,48.0,53.0,40.0,70.0,65.0,69.0,68.0,8.0,15.0,8.0,7.0,7.0,0,1,0
7593,7593,B. Meccariello,27,2000,2.0,187.96,84.8232,35.0,22.0,62.0,50.0,22.0,36.0,25.0,27.0,48.0,49.0,67.0,71.0,58.0,62.0,50.0,45.0,80.0,63.0,87.0,33.0,64.0,66.0,21.0,37.0,29.0,64.0,70.0,67.0,65.0,9.0,5.0,12.0,14.0,11.0,0,1,0
7594,7594,Bai Jiajun,27,6000,2.0,165.1,64.8648,64.0,46.0,57.0,62.0,30.0,61.0,52.0,37.0,48.0,58.0,80.0,70.0,79.0,64.0,89.0,54.0,91.0,90.0,43.0,46.0,75.0,61.0,65.0,64.0,45.0,53.0,57.0,67.0,69.0,14.0,15.0,13.0,14.0,11.0,1,0,0
7595,7595,R. Glatzel,24,6000,2.0,193.04,84.8232,39.0,73.0,71.0,55.0,68.0,61.0,48.0,31.0,34.0,67.0,49.0,55.0,52.0,66.0,41.0,70.0,62.0,55.0,82.0,57.0,49.0,24.0,68.0,47.0,62.0,63.0,20.0,17.0,25.0,10.0,11.0,14.0,13.0,9.0,0,1,0
7596,7596,C. Cortés,34,2000,3.0,177.8,68.9472,58.0,57.0,48.0,72.0,47.0,67.0,69.0,64.0,59.0,71.0,69.0,60.0,69.0,59.0,59.0,59.0,39.0,69.0,62.0,59.0,37.0,18.0,72.0,67.0,71.0,71.0,48.0,38.0,42.0,15.0,15.0,12.0,8.0,12.0,0,1,0
7597,7597,I. Jeraldino,22,2000,2.0,180.34,78.9264,38.0,67.0,71.0,49.0,52.0,61.0,51.0,48.0,40.0,69.0,67.0,69.0,57.0,71.0,63.0,71.0,81.0,66.0,68.0,59.0,36.0,18.0,73.0,49.0,70.0,58.0,32.0,17.0,17.0,10.0,11.0,6.0,9.0,12.0,1,0,1
7598,7598,N. Dicko,26,12000,3.0,172.72,73.9368,60.0,66.0,53.0,64.0,65.0,67.0,55.0,51.0,54.0,70.0,89.0,86.0,79.0,67.0,76.0,70.0,67.0,68.0,80.0,54.0,57.0,19.0,63.0,60.0,69.0,65.0,32.0,38.0,36.0,13.0,16.0,11.0,15.0,7.0,1,0,0
7599,7599,F. Sbuttoni,29,5000,2.0,190.5,87.0912,23.0,24.0,71.0,66.0,21.0,38.0,26.0,17.0,54.0,52.0,40.0,34.0,35.0,66.0,29.0,43.0,59.0,56.0,86.0,20.0,71.0,68.0,26.0,24.0,29.0,60.0,69.0,63.0,60.0,9.0,10.0,12.0,11.0,5.0,1,0,1
7600,7600,I. Conté,22,3000,2.0,190.5,82.1016,37.0,39.0,72.0,56.0,40.0,51.0,49.0,27.0,52.0,54.0,68.0,60.0,58.0,57.0,57.0,61.0,72.0,64.0,87.0,42.0,62.0,64.0,32.0,51.0,30.0,61.0,62.0,71.0,61.0,9.0,14.0,15.0,14.0,5.0,0,1,0
7601,7601,M. Bostwick,30,8000,2.0,193.04,88.9056,41.0,49.0,70.0,56.0,41.0,46.0,41.0,63.0,53.0,52.0,57.0,51.0,48.0,65.0,33.0,74.0,61.0,87.0,89.0,68.0,92.0,64.0,52.0,42.0,58.0,61.0,62.0,64.0,62.0,15.0,13.0,6.0,9.0,9.0,1,1,0
7602,7602,A. Settembrini,26,2000,3.0,175.26,67.1328,61.0,54.0,62.0,74.0,52.0,63.0,51.0,52.0,69.0,67.0,68.0,70.0,61.0,68.0,77.0,57.0,62.0,72.0,53.0,53.0,64.0,64.0,61.0,65.0,50.0,64.0,57.0,68.0,64.0,5.0,9.0,5.0,7.0,13.0,0,1,0
7603,7603,A. Modiba,22,0,3.0,170.18,69.8544,66.0,53.0,59.0,69.0,54.0,74.0,60.0,48.0,61.0,71.0,84.0,80.0,71.0,48.0,82.0,59.0,38.0,66.0,51.0,59.0,26.0,42.0,66.0,68.0,53.0,71.0,66.0,69.0,63.0,8.0,9.0,9.0,13.0,7.0,1,1,0
7604,7604,K. Vollmann,24,3000,3.0,175.26,69.8544,58.0,58.0,38.0,69.0,51.0,70.0,63.0,60.0,59.0,66.0,83.0,81.0,84.0,62.0,88.0,70.0,73.0,77.0,62.0,64.0,72.0,50.0,64.0,63.0,55.0,63.0,31.0,46.0,42.0,10.0,11.0,10.0,7.0,15.0,1,1,0
7605,7605,K. Przybyłko,25,4000,2.0,193.04,86.184,43.0,66.0,70.0,60.0,67.0,63.0,54.0,48.0,50.0,65.0,65.0,68.0,64.0,66.0,52.0,70.0,69.0,55.0,79.0,65.0,40.0,22.0,69.0,53.0,56.0,48.0,24.0,23.0,20.0,13.0,16.0,11.0,16.0,9.0,0,1,0
7606,7606,Mario Barco,25,5000,2.0,182.88,78.0192,56.0,69.0,66.0,61.0,68.0,62.0,47.0,55.0,46.0,67.0,60.0,68.0,59.0,59.0,52.0,76.0,70.0,37.0,76.0,62.0,33.0,20.0,65.0,55.0,66.0,55.0,52.0,28.0,16.0,6.0,16.0,7.0,11.0,15.0,1,0,0
7607,7607,Y. Baraye,26,17000,3.0,177.8,68.9472,64.0,68.0,46.0,67.0,51.0,75.0,54.0,56.0,66.0,67.0,78.0,88.0,67.0,55.0,71.0,59.0,56.0,69.0,46.0,52.0,51.0,37.0,62.0,62.0,50.0,66.0,50.0,59.0,51.0,7.0,8.0,8.0,8.0,15.0,1,1,0
7608,7608,O. Werner,33,4000,1.0,193.04,96.1632,13.0,12.0,11.0,37.0,14.0,14.0,12.0,16.0,37.0,22.0,43.0,34.0,34.0,62.0,34.0,17.0,66.0,27.0,85.0,15.0,22.0,19.0,12.0,21.0,15.0,42.0,23.0,9.0,19.0,71.0,63.0,66.0,66.0,70.0,0,1,0
7609,7609,R. Rotman,29,6000,2.0,187.96,79.8336,63.0,63.0,67.0,71.0,53.0,65.0,68.0,69.0,65.0,61.0,66.0,67.0,67.0,66.0,66.0,73.0,70.0,76.0,72.0,67.0,72.0,67.0,59.0,58.0,70.0,70.0,67.0,70.0,60.0,9.0,10.0,16.0,15.0,14.0,0,1,0
7610,7610,I. Poblete,23,2000,3.0,170.18,69.8544,59.0,65.0,37.0,69.0,45.0,71.0,56.0,71.0,62.0,70.0,71.0,71.0,78.0,53.0,78.0,59.0,66.0,74.0,67.0,57.0,44.0,31.0,64.0,69.0,52.0,68.0,38.0,34.0,37.0,12.0,14.0,15.0,6.0,16.0,0,1,0
7611,7611,Javi Jiménez,22,3000,3.0,172.72,69.8544,64.0,32.0,57.0,66.0,29.0,70.0,63.0,44.0,63.0,72.0,91.0,87.0,86.0,60.0,72.0,30.0,61.0,76.0,70.0,33.0,73.0,62.0,69.0,59.0,37.0,70.0,61.0,66.0,62.0,12.0,7.0,10.0,16.0,12.0,1,0,0
7612,7612,L. Gassama,28,9000,2.0,180.34,73.9368,65.0,35.0,58.0,66.0,32.0,62.0,54.0,43.0,60.0,64.0,73.0,78.0,76.0,69.0,68.0,47.0,66.0,77.0,71.0,36.0,79.0,66.0,48.0,52.0,59.0,60.0,65.0,68.0,63.0,15.0,6.0,7.0,13.0,6.0,0,1,0
7613,7613,S. Şahin-Radlinger,25,9000,1.0,195.57999999999998,83.0088,12.0,15.0,12.0,24.0,8.0,10.0,19.0,16.0,25.0,23.0,42.0,37.0,36.0,64.0,42.0,20.0,55.0,29.0,59.0,12.0,16.0,12.0,13.0,45.0,16.0,51.0,13.0,13.0,20.0,70.0,62.0,59.0,68.0,71.0,0,1,0
7614,7614,A. Miljković,28,2000,2.0,182.88,76.2048,63.0,44.0,64.0,58.0,44.0,67.0,46.0,36.0,56.0,62.0,70.0,75.0,64.0,65.0,62.0,61.0,72.0,75.0,73.0,48.0,67.0,66.0,51.0,55.0,40.0,57.0,61.0,71.0,71.0,8.0,15.0,10.0,7.0,12.0,1,1,0
7615,7615,M. Richards,30,8000,2.0,180.34,83.0088,65.0,40.0,64.0,61.0,43.0,59.0,45.0,32.0,56.0,60.0,64.0,68.0,53.0,50.0,65.0,60.0,77.0,32.0,87.0,39.0,80.0,63.0,52.0,51.0,53.0,61.0,58.0,68.0,68.0,7.0,16.0,15.0,16.0,8.0,0,1,0
7616,7616,A. Kačaniklić,26,10000,3.0,180.34,72.1224,65.0,59.0,61.0,70.0,63.0,69.0,68.0,65.0,68.0,67.0,69.0,68.0,72.0,69.0,72.0,66.0,36.0,44.0,57.0,59.0,43.0,36.0,72.0,72.0,59.0,72.0,36.0,38.0,32.0,16.0,7.0,12.0,8.0,15.0,0,1,0
7617,7617,N. Marsman,27,6000,1.0,187.96,87.9984,19.0,13.0,11.0,50.0,16.0,11.0,19.0,20.0,22.0,23.0,36.0,41.0,41.0,63.0,38.0,11.0,61.0,30.0,55.0,11.0,28.0,12.0,10.0,58.0,24.0,50.0,15.0,17.0,19.0,70.0,60.0,70.0,65.0,73.0,0,1,0
7618,7618,D. Roßbach,25,3000,3.0,187.96,83.0088,64.0,31.0,67.0,69.0,23.0,63.0,36.0,40.0,62.0,66.0,68.0,70.0,62.0,67.0,59.0,52.0,60.0,72.0,76.0,35.0,60.0,69.0,53.0,48.0,48.0,60.0,63.0,68.0,64.0,14.0,13.0,8.0,10.0,7.0,0,1,0
7619,7619,Eduardo Henrique,23,3000,2.0,187.96,73.0296,64.0,49.0,58.0,68.0,42.0,66.0,41.0,42.0,60.0,68.0,74.0,77.0,60.0,68.0,60.0,58.0,71.0,75.0,64.0,50.0,64.0,67.0,63.0,68.0,46.0,58.0,71.0,70.0,63.0,12.0,11.0,9.0,12.0,10.0,1,1,0
7620,7620,R. James,18,8000,3.0,180.34,82.1016,64.0,39.0,58.0,68.0,42.0,65.0,60.0,57.0,68.0,68.0,76.0,76.0,65.0,65.0,62.0,69.0,62.0,66.0,74.0,45.0,68.0,67.0,57.0,64.0,42.0,63.0,65.0,69.0,65.0,8.0,12.0,7.0,13.0,11.0,0,1,0
7621,7621,J. Mabokgwane,30,1000,1.0,175.26,68.9472,20.0,10.0,11.0,22.0,10.0,10.0,14.0,18.0,21.0,24.0,38.0,34.0,28.0,59.0,63.0,32.0,45.0,30.0,40.0,10.0,39.0,22.0,19.0,38.0,15.0,50.0,17.0,15.0,12.0,68.0,63.0,70.0,65.0,75.0,0,1,0
7622,7622,Y. Court,28,4000,3.0,172.72,69.8544,65.0,60.0,26.0,76.0,32.0,66.0,70.0,61.0,65.0,67.0,72.0,72.0,74.0,69.0,78.0,75.0,71.0,78.0,63.0,61.0,46.0,49.0,53.0,69.0,46.0,60.0,27.0,44.0,43.0,12.0,16.0,7.0,13.0,13.0,0,1,0
7623,7623,O. Duarte,22,2000,3.0,180.34,74.844,57.0,69.0,60.0,65.0,59.0,72.0,52.0,40.0,37.0,67.0,78.0,78.0,74.0,64.0,61.0,62.0,65.0,75.0,70.0,61.0,47.0,26.0,71.0,60.0,61.0,57.0,22.0,22.0,18.0,9.0,15.0,12.0,5.0,6.0,1,1,0
7624,7624,M. Turay,23,5000,3.0,177.8,69.8544,46.0,68.0,66.0,56.0,58.0,72.0,48.0,47.0,43.0,66.0,85.0,90.0,87.0,58.0,75.0,65.0,77.0,77.0,67.0,63.0,78.0,20.0,64.0,57.0,61.0,58.0,32.0,17.0,16.0,14.0,9.0,5.0,10.0,10.0,1,1,0
7625,7625,D. Capelli,32,2000,2.0,185.42,83.916,45.0,20.0,65.0,57.0,18.0,36.0,31.0,35.0,57.0,49.0,33.0,36.0,34.0,55.0,55.0,65.0,83.0,57.0,89.0,32.0,65.0,66.0,29.0,29.0,46.0,66.0,70.0,67.0,66.0,5.0,11.0,6.0,5.0,10.0,0,1,1
7626,7626,Bruno Perone,30,4000,2.0,190.5,87.0912,32.0,28.0,73.0,61.0,19.0,48.0,63.0,27.0,70.0,56.0,49.0,53.0,36.0,60.0,60.0,55.0,65.0,61.0,84.0,33.0,69.0,67.0,52.0,51.0,51.0,59.0,62.0,68.0,60.0,14.0,8.0,12.0,12.0,16.0,0,1,0
7627,7627,A. Merkel,26,4000,3.0,177.8,67.1328,69.0,57.0,58.0,71.0,69.0,66.0,74.0,67.0,70.0,67.0,75.0,66.0,77.0,72.0,68.0,66.0,53.0,61.0,56.0,66.0,57.0,46.0,59.0,65.0,53.0,63.0,45.0,59.0,53.0,14.0,7.0,7.0,12.0,10.0,0,1,1
7628,7628,Ibson,34,3000,3.0,177.8,76.2048,43.0,43.0,49.0,73.0,49.0,71.0,70.0,65.0,69.0,66.0,67.0,67.0,65.0,70.0,70.0,65.0,66.0,67.0,62.0,46.0,75.0,62.0,51.0,58.0,69.0,65.0,60.0,71.0,68.0,7.0,6.0,8.0,7.0,7.0,1,1,0
7629,7629,J. Gamonal,28,1000,1.0,180.34,74.844,14.0,20.0,17.0,48.0,12.0,15.0,25.0,18.0,45.0,15.0,35.0,21.0,55.0,69.0,47.0,33.0,79.0,29.0,71.0,20.0,45.0,30.0,11.0,65.0,25.0,56.0,11.0,25.0,25.0,67.0,63.0,66.0,65.0,70.0,0,1,0
7630,7630,K. Vacek,31,6000,3.0,182.88,76.2048,65.0,56.0,61.0,70.0,67.0,66.0,53.0,67.0,67.0,68.0,70.0,67.0,75.0,67.0,71.0,69.0,65.0,64.0,67.0,70.0,67.0,67.0,65.0,68.0,66.0,64.0,52.0,66.0,62.0,6.0,5.0,6.0,14.0,10.0,0,1,0
7631,7631,S. Fürstner,30,3000,2.0,177.8,73.9368,57.0,38.0,62.0,65.0,43.0,61.0,48.0,43.0,62.0,69.0,57.0,53.0,72.0,65.0,75.0,60.0,72.0,90.0,70.0,47.0,67.0,62.0,62.0,62.0,42.0,68.0,67.0,68.0,65.0,7.0,12.0,11.0,10.0,16.0,0,1,0
7632,7632,D. Bulthuis,28,4000,2.0,190.5,87.9984,50.0,22.0,74.0,51.0,24.0,26.0,40.0,21.0,53.0,42.0,36.0,52.0,31.0,55.0,31.0,49.0,71.0,73.0,91.0,24.0,83.0,61.0,26.0,23.0,30.0,60.0,65.0,68.0,62.0,15.0,7.0,11.0,14.0,16.0,0,1,0
7633,7633,M. Lais,27,5000,3.0,182.88,68.9472,53.0,58.0,54.0,68.0,46.0,65.0,52.0,39.0,68.0,72.0,82.0,82.0,78.0,69.0,74.0,47.0,79.0,80.0,57.0,55.0,68.0,65.0,54.0,64.0,63.0,63.0,68.0,63.0,62.0,8.0,11.0,8.0,13.0,12.0,1,1,0
7634,7634,B. Addae,25,2000,3.0,185.42,84.8232,64.0,48.0,58.0,68.0,67.0,67.0,60.0,41.0,64.0,69.0,78.0,84.0,77.0,70.0,77.0,77.0,89.0,79.0,83.0,74.0,75.0,65.0,55.0,65.0,47.0,63.0,64.0,70.0,73.0,15.0,10.0,15.0,7.0,7.0,1,0,0
7635,7635,C. Bedia,22,6000,2.0,193.04,83.916,39.0,65.0,72.0,63.0,51.0,68.0,31.0,32.0,31.0,62.0,73.0,79.0,67.0,65.0,60.0,71.0,72.0,64.0,81.0,56.0,58.0,32.0,61.0,61.0,66.0,58.0,19.0,36.0,27.0,13.0,10.0,9.0,6.0,11.0,0,1,1
7636,7636,M. Vojvoda,23,4000,2.0,185.42,78.9264,72.0,35.0,55.0,65.0,47.0,67.0,62.0,58.0,67.0,62.0,69.0,68.0,66.0,66.0,67.0,62.0,65.0,72.0,67.0,49.0,67.0,65.0,62.0,64.0,35.0,60.0,64.0,66.0,68.0,8.0,12.0,10.0,10.0,8.0,0,1,0
7637,7637,S. Iljutcenko,27,4000,2.0,187.96,82.1016,50.0,69.0,65.0,57.0,64.0,63.0,34.0,27.0,39.0,62.0,72.0,75.0,66.0,64.0,59.0,68.0,71.0,78.0,79.0,61.0,59.0,38.0,70.0,50.0,60.0,67.0,21.0,44.0,22.0,10.0,16.0,11.0,14.0,9.0,0,1,0
7638,7638,M. Pessina,21,8000,3.0,182.88,74.844,52.0,42.0,60.0,76.0,48.0,70.0,52.0,45.0,70.0,69.0,72.0,72.0,71.0,67.0,61.0,63.0,61.0,74.0,57.0,41.0,67.0,61.0,62.0,64.0,56.0,64.0,66.0,61.0,60.0,13.0,9.0,7.0,13.0,7.0,0,1,0
7639,7639,H. Calcaterra,29,0,3.0,175.26,72.1224,72.0,42.0,55.0,74.0,54.0,69.0,65.0,59.0,68.0,72.0,67.0,65.0,61.0,66.0,66.0,68.0,64.0,75.0,60.0,60.0,47.0,53.0,60.0,64.0,67.0,67.0,50.0,55.0,50.0,14.0,15.0,9.0,9.0,8.0,0,1,0
7640,7640,F. Bednarek,25,3000,1.0,187.96,81.1944,16.0,18.0,17.0,24.0,13.0,14.0,13.0,16.0,22.0,25.0,47.0,40.0,33.0,64.0,58.0,23.0,56.0,45.0,70.0,13.0,20.0,22.0,12.0,30.0,31.0,55.0,9.0,16.0,21.0,66.0,65.0,64.0,68.0,70.0,0,1,0
7641,7641,D. Mitchell,21,24000,3.0,180.34,71.2152,69.0,60.0,59.0,67.0,66.0,72.0,63.0,65.0,64.0,65.0,83.0,85.0,74.0,58.0,70.0,68.0,65.0,76.0,54.0,68.0,62.0,61.0,65.0,66.0,61.0,63.0,63.0,66.0,64.0,13.0,7.0,12.0,9.0,12.0,1,0,0
7642,7642,A. Salazar,25,3000,1.0,185.42,78.9264,14.0,13.0,11.0,30.0,19.0,18.0,19.0,13.0,38.0,23.0,45.0,40.0,36.0,68.0,56.0,20.0,65.0,23.0,63.0,19.0,20.0,17.0,18.0,37.0,21.0,60.0,18.0,19.0,16.0,66.0,67.0,65.0,65.0,69.0,0,1,0
7643,7643,M. Pinto,34,2000,1.0,182.88,78.9264,23.0,20.0,12.0,38.0,13.0,21.0,16.0,33.0,45.0,23.0,55.0,57.0,58.0,72.0,58.0,31.0,71.0,36.0,68.0,20.0,27.0,11.0,13.0,69.0,34.0,67.0,11.0,19.0,21.0,70.0,63.0,68.0,62.0,68.0,0,1,0
7644,7644,D. Pudil,32,10000,2.0,185.42,82.1016,71.0,49.0,63.0,67.0,54.0,66.0,71.0,69.0,66.0,69.0,56.0,53.0,67.0,65.0,59.0,74.0,63.0,75.0,74.0,68.0,78.0,64.0,59.0,59.0,61.0,71.0,63.0,69.0,67.0,13.0,14.0,13.0,7.0,9.0,0,1,0
7645,7645,L. Castiglia,29,2000,3.0,185.42,76.2048,60.0,46.0,60.0,70.0,53.0,66.0,60.0,55.0,70.0,71.0,58.0,67.0,59.0,68.0,54.0,66.0,58.0,73.0,78.0,62.0,68.0,56.0,53.0,70.0,60.0,64.0,60.0,64.0,61.0,5.0,5.0,4.0,4.0,8.0,0,1,0
7646,7646,J. Pereyra Díaz,27,7000,3.0,177.8,72.1224,68.0,55.0,67.0,67.0,64.0,65.0,69.0,48.0,62.0,67.0,72.0,74.0,68.0,71.0,68.0,70.0,60.0,68.0,58.0,69.0,63.0,59.0,70.0,67.0,57.0,62.0,41.0,52.0,46.0,8.0,7.0,14.0,15.0,14.0,0,1,0
7647,7647,S. Marreh,22,13000,2.0,182.88,78.0192,34.0,22.0,51.0,66.0,24.0,43.0,27.0,40.0,58.0,62.0,47.0,49.0,54.0,59.0,59.0,50.0,61.0,72.0,79.0,29.0,84.0,64.0,27.0,60.0,47.0,55.0,66.0,70.0,65.0,14.0,9.0,12.0,12.0,9.0,1,0,1
7648,7648,A. Pizzorno,25,2000,2.0,185.42,82.1016,54.0,33.0,75.0,61.0,31.0,51.0,26.0,27.0,56.0,47.0,70.0,70.0,67.0,53.0,51.0,42.0,65.0,62.0,68.0,39.0,68.0,66.0,32.0,35.0,41.0,57.0,71.0,71.0,59.0,15.0,6.0,7.0,8.0,11.0,0,1,0
7649,7649,T. Blackett,24,9000,3.0,187.96,87.0912,72.0,24.0,64.0,67.0,44.0,65.0,66.0,65.0,65.0,63.0,65.0,71.0,60.0,58.0,47.0,56.0,58.0,69.0,81.0,56.0,67.0,67.0,55.0,59.0,45.0,59.0,61.0,69.0,65.0,15.0,11.0,15.0,8.0,14.0,0,1,1
7650,7650,Park Chu Young,32,3000,3.0,182.88,74.844,58.0,66.0,64.0,66.0,67.0,66.0,75.0,74.0,66.0,66.0,66.0,66.0,71.0,65.0,67.0,71.0,81.0,52.0,68.0,66.0,55.0,34.0,66.0,69.0,81.0,68.0,32.0,34.0,44.0,8.0,12.0,7.0,12.0,6.0,1,1,0
7651,7651,Carbonell,20,2000,3.0,182.88,74.844,59.0,70.0,57.0,67.0,49.0,73.0,59.0,47.0,67.0,72.0,66.0,63.0,72.0,63.0,77.0,58.0,56.0,64.0,57.0,70.0,48.0,63.0,59.0,62.0,49.0,54.0,59.0,62.0,55.0,5.0,5.0,12.0,12.0,14.0,0,1,0
7652,7652,J. Holland,29,4000,2.0,182.88,76.2048,52.0,55.0,45.0,64.0,56.0,61.0,58.0,46.0,62.0,63.0,67.0,67.0,76.0,61.0,67.0,70.0,74.0,83.0,72.0,67.0,84.0,65.0,59.0,63.0,47.0,63.0,68.0,64.0,65.0,9.0,12.0,14.0,15.0,15.0,0,1,0
7653,7653,C. Râpă,28,3000,2.0,180.34,72.1224,67.0,36.0,50.0,59.0,59.0,56.0,48.0,53.0,58.0,59.0,66.0,67.0,66.0,64.0,69.0,65.0,71.0,78.0,63.0,52.0,65.0,63.0,39.0,60.0,64.0,63.0,67.0,70.0,67.0,13.0,10.0,13.0,8.0,11.0,1,1,0
7654,7654,D. Fällman,28,2000,2.0,187.96,83.916,29.0,27.0,64.0,47.0,31.0,35.0,22.0,30.0,49.0,47.0,51.0,55.0,45.0,63.0,54.0,35.0,51.0,51.0,79.0,25.0,79.0,69.0,23.0,42.0,35.0,51.0,67.0,66.0,62.0,16.0,15.0,9.0,14.0,10.0,0,1,0
